Kuukausi / Month;Bensiini / Gasoline;Diesel / Diesel ;Sähkö / BEV;CNG / CNG;PHEV bensiini / PHEV Gasoline;PHEV diesel / PHEV Diesel;Ei-ladattava hybridi, bensiini / HEV Gasoline;Ei-ladattava hybridi, diesel / HEV Diesel;Vety / Hydrogen;Etanoli / Ethanol;YHTEENSÄ / Altogether                                                                                                                                                                                                                                                           
2015M1;5 668;4 308;13;24;23;2;199;3;0;28;10 268
2015M2;4 457;3 287;10;13;28;1;180;3;0;11;7 990
2015M3;6 988;3 728;42;20;26;0;284;2;0;8;11 098
2015M4;5 759;3 539;18;13;45;0;252;3;0;7;9 636
2015M5;5 738;3 032;21;11;45;1;253;0;0;16;9 117
2015M6;5 514;3 194;20;15;34;4;187;2;0;10;8 980
2015M7;5 688;2 802;34;8;28;2;152;1;0;8;8 723
2015M8;5 428;2 677;15;13;36;0;224;5;0;4;8 402
2015M9;5 264;2 943;33;6;36;0;229;3;0;1;8 515
2015M10;5 724;3 079;16;10;33;4;295;0;0;6;9 167
2015M11;5 593;3 019;11;11;23;1;333;1;0;4;8 996
2015M12;4 427;3 189;10;14;43;0;229;6;0;2;7 920
2016M1;7 114;4 202;15;13;88;1;357;2;0;2;11 794
2016M2;5 783;3 408;34;11;125;2;301;1;0;1;9 666
2016M3;7 353;3 711;28;18;97;0;443;3;0;1;11 654
2016M4;6 902;3 689;13;16;82;0;383;2;0;1;11 088
2016M5;6 427;3 569;9;17;74;1;423;0;0;3;10 523
2016M6;6 698;3 484;13;12;96;6;442;0;0;1;10 752
2016M7;5 257;2 663;11;9;86;8;308;0;0;2;8 344
2016M8;5 825;2 804;12;18;65;6;469;1;0;1;9 201
2016M9;6 115;2 954;29;8;94;23;425;1;0;0;9 649
2016M10;5 636;2 980;14;14;103;19;399;0;0;1;9 166
2016M11;5 409;3 058;7;15;106;15;396;1;0;1;9 008
2016M12;4 732;2 929;38;14;99;12;322;0;0;0;8 146
2017M1;7 159;4 614;46;18;159;30;718;0;0;0;12 744
2017M2;5 211;3 092;27;9;114;9;706;0;0;0;9 168
2017M3;6 755;3 448;56;17;148;16;774;0;0;0;11 214
2017M4;5 525;3 021;39;22;142;18;632;0;0;1;9 399
2017M5;6 566;3 517;47;35;174;12;706;0;0;0;11 058
2017M6;6 306;3 376;57;39;176;15;899;0;0;0;10 868
2017M7;5 367;2 454;34;39;195;14;752;0;0;0;8 855
2017M8;5 740;2 758;36;42;220;7;869;0;0;0;9 672
2017M9;5 372;2 648;49;48;234;12;755;0;0;0;9 118
2017M10;5 429;2 338;18;52;273;3;637;0;0;0;8 750
2017M11;6 055;2 488;41;63;314;11;696;1;0;0;9 669
2017M12;5 035;2 306;52;49;252;5;368;1;0;0;8 068
2018M1;8 305;3 470;36;102;471;15;1 184;1;0;0;13 584
2018M2;5 565;2 258;37;75;347;4;820;3;0;0;9 109
2018M3;7 294;2 753;102;118;454;18;979;5;0;0;11 723
2018M4;6 559;2 709;66;124;512;11;1 065;1;0;0;11 047
2018M5;7 639;2 814;43;153;586;17;1 231;4;0;0;12 487
2018M6;7 184;2 719;68;173;425;17;1 067;8;0;0;11 661
2018M7;5 855;2 043;38;130;371;17;1 123;6;0;0;9 583
