Kuukausi / Month;Bensiini / Gasoline;Diesel / Diesel ;Sähkö / BEV;CNG / CNG;PHEV bensiini / PHEV Gasoline;PHEV diesel / PHEV Diesel;Ei-ladattava hybridi, bensiini / HEV Gasoline;Ei-ladattava hybridi, diesel / HEV Diesel;Vety / Hydrogen;Etanoli / Ethanol;YHTEENSÄ / Altogether                                                                                                                                                                                                                                                           
2015/I;5 668;4 308;13;24;23;2;199;3;0;28;10 268
II;4 457;3 287;10;13;28;1;180;3;0;11;7 990
III;6 988;3 728;42;20;26;0;284;2;0;8;11 098
IV;5 759;3 539;18;13;45;0;252;3;0;7;9 636
V;5 738;3 032;21;11;45;1;253;0;0;16;9 117
VI;5 514;3 194;20;15;34;4;187;2;0;10;8 980
VII;5 688;2 802;34;8;28;2;152;1;0;8;8 723
VIII;5 428;2 677;15;13;36;0;224;5;0;4;8 402
IX;5 264;2 943;33;6;36;0;229;3;0;1;8 515
X;5 724;3 079;16;10;33;4;295;0;0;6;9 167
XI;5 593;3 019;11;11;23;1;333;1;0;4;8 996
XII;4 427;3 189;10;14;43;0;229;6;0;2;7 920
2016/I;7 114;4 202;15;13;88;1;357;2;0;2;11 794
II;5 783;3 408;34;11;125;2;301;1;0;1;9 666
III;7 353;3 711;28;18;97;0;443;3;0;1;11 654
IV;6 902;3 689;13;16;82;0;383;2;0;1;11 088
V;6 427;3 569;9;17;74;1;423;0;0;3;10 523
VI;6 698;3 484;13;12;96;6;442;0;0;1;10 752
VII;5 257;2 663;11;9;86;8;308;0;0;2;8 344
VIII;5 825;2 804;12;18;65;6;469;1;0;1;9 201
